date,nav,scheme_code,scheme_name,fund_house
2026-06-19,202.0761,118632,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-06-18,200.9565,118632,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-06-17,199.8302,118632,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-06-16,198.6152,118632,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-06-15,198.032,118632,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-06-12,196.5577,118632,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-06-11,192.6722,118632,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-06-10,193.4371,118632,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-06-09,194.3813,118632,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-06-08,191.9092,118632,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-06-05,194.7547,118632,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-06-04,194.522,118632,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-06-03,194.081,118632,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-06-02,193.1295,118632,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-06-01,192.3195,118632,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-31,193.6836,118632,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-29,193.6848,118632,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-27,195.0501,118632,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-26,194.2258,118632,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-25,193.5599,118632,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-22,192.1227,118632,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-21,191.7575,118632,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-20,189.8661,118632,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-19,189.5553,118632,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-18,187.9126,118632,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-15,190.2405,118632,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-14,189.9345,118632,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-13,190.464,118632,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-12,190.6152,118632,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-11,195.586,118632,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-08,196.8821,118632,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-07,197.4753,118632,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-06,196.0036,118632,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-05,194.5618,118632,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-04,195.4469,118632,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-04-30,193.4131,118632,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-04-29,194.1523,118632,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
