date,nav,scheme_code,scheme_name,fund_house
2026-06-19,202.0761,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-06-18,200.9565,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-06-17,199.8302,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-06-16,198.6152,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-06-15,198.032,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-06-12,196.5577,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-06-11,192.6722,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-06-10,193.4371,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-06-09,194.3813,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-06-08,191.9092,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-06-05,194.7547,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-06-04,194.522,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-06-03,194.081,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-06-02,193.1295,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-06-01,192.3195,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-31,193.6836,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-29,193.6848,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-27,195.0501,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-26,194.2258,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-25,193.5599,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-22,192.1227,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-21,191.7575,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-20,189.8661,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-19,189.5553,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-18,187.9126,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-15,190.2405,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-14,189.9345,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-13,190.464,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-12,190.6152,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-11,195.586,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-08,196.8821,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-07,197.4753,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-06,196.0036,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-05,194.5618,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-04,195.4469,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-04-30,193.4131,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-04-29,194.1523,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-04-28,193.4843,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-04-27,193.8317,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-04-24,191.0425,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-04-23,193.0317,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-04-22,194.1928,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-04-21,192.6397,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-04-20,191.0583,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-04-17,190.5242,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-04-16,188.3316,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-04-15,187.2786,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-04-13,184.3491,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-04-10,184.6967,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-04-09,181.2455,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-04-08,180.5783,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-04-07,174.8342,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-04-06,174.9151,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-04-02,173.8471,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-04-01,173.782,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-03-31,169.3706,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-03-30,169.3708,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-03-27,172.4739,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-03-25,175.4211,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-03-24,172.0049,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-03-23,169.1091,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-03-20,174.6205,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-03-19,173.9004,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-03-18,177.4908,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-03-17,174.0628,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-03-16,173.8198,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-03-13,173.9754,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-03-12,177.9888,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-03-11,178.3891,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-03-10,178.8419,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-03-09,175.7742,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-03-06,178.9784,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-03-05,179.3239,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-03-04,177.9961,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-03-02,181.3175,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-02-28,184.7579,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-02-27,184.7581,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-02-26,186.095,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-02-25,186.0488,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-02-24,186.208,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-02-23,187.5721,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-02-20,186.2228,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-02-19,186.6666,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-02-18,188.2128,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-02-17,187.6437,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-02-16,185.8471,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-02-13,187.236,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-02-12,189.6029,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-02-11,189.7464,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-02-10,189.019,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-02-09,188.469,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-02-06,184.627,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-02-05,185.6949,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-02-04,186.7774,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-02-03,186.7009,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-02-02,180.5424,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-01-31,183.301,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-01-30,183.3021,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-01-29,179.9408,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-01-28,181.0873,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-01-27,179.5515,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-01-23,179.8035,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-01-22,182.7544,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-01-21,181.5325,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-01-20,181.835,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-01-19,185.4042,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-01-16,186.9719,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-01-14,187.3375,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-01-13,187.6594,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-01-12,186.1837,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-01-09,187.0971,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-01-08,190.16,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-01-07,193.3173,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-01-06,193.7027,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-01-05,194.3786,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-01-02,194.574,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-01-01,193.6417,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-12-31,193.7724,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-12-30,191.9501,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-12-29,192.541,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-12-26,192.5913,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-12-24,193.2848,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-12-23,193.2652,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-12-22,192.2573,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-12-19,191.1157,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-12-18,189.542,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-12-17,190.0621,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-12-16,191.3143,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-12-15,193.1325,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-12-12,192.3377,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-12-11,191.4952,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-12-10,191.2557,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-12-09,191.3573,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-12-08,190.1591,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-12-05,193.1451,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-12-04,193.4599,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-12-03,194.3355,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-12-02,194.4312,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-12-01,195.3626,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-11-30,194.979,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-11-28,194.9784,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-11-27,195.149,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-11-26,195.8555,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-11-25,194.2042,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-11-24,193.9092,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-11-21,194.2517,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-11-20,196.0732,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-11-19,196.528,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-11-18,196.9478,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-11-17,197.9212,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-11-14,197.0676,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-11-13,196.5465,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-11-12,196.884,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-11-11,196.4486,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-11-10,196.2451,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-11-07,197.315,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-11-06,197.8032,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-11-04,200.4678,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-11-03,200.9709,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-10-31,199.8234,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-10-30,200.5185,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-10-29,201.0375,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-10-28,200.6348,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-10-27,199.7965,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-10-24,198.4115,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-10-23,198.7521,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-10-20,197.5258,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-10-17,197.1075,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-10-16,196.9521,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-10-15,194.7,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-10-14,193.3975,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-10-13,194.5364,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-10-10,195.1185,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-10-09,195.0376,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-10-08,195.8587,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-10-07,196.4294,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-10-06,196.5483,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-10-03,196.2965,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-10-01,195.0856,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-09-30,193.8822,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-09-26,194.0973,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-09-25,197.3447,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-09-24,198.8861,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-09-23,199.4573,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-09-22,200.2539,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-09-19,201.306,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-09-18,201.5447,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-09-17,201.82,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-09-16,201.1795,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-09-15,200.0967,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-09-12,199.0716,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-09-11,198.9835,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-09-10,198.7075,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-09-09,198.2444,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2025-09-08,197.448,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
